"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(1)","특성별(1)",특성별(2),계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다
"전국","연령",30∼39세,100.0,17.2,4.0,10.0,1.7,2.6,58.8,,3.7,0.0,2.2,100.0,16.0,4.1,10.7,1.2,1.8,58.8,,4.3,0.1,3.1,100.0,17.7,4.2,10.3,1.5,1.7,56.7,,4.0,0.0,3.9,100.0,17.6,4.4,9.8,1.4,1.2,58.9,,3.6,0.1,2.9,100.0,19.5,4.0,10.2,0.9,0.9,58.2,1.2,2.3,0.0,2.8,100.0,13.5,,11.0,,2.0,63.1,1.8,3.5,0.6,4.5
"전국","연령",40∼49세,100.0,20.8,4.9,11.4,2.3,3.4,47.0,,6.9,0.0,3.3,100.0,19.9,5.0,11.5,2.0,2.7,47.6,,7.1,0.1,4.1,100.0,19.5,5.7,11.0,1.6,2.1,47.6,,7.0,0.1,5.3,100.0,19.9,4.5,11.8,2.5,1.3,49.9,,6.5,,3.6,100.0,21.1,4.4,11.3,1.8,1.3,50.2,2.3,4.6,0.0,2.9,100.0,15.1,,12.5,,2.8,56.4,2.9,5.5,0.3,4.6
"전국","연령",50∼59세,100.0,20.6,3.6,10.3,2.1,3.1,45.6,,8.5,0.1,6.1,100.0,21.7,4.1,11.6,2.0,2.3,44.2,,7.5,0.2,6.4,100.0,20.8,5.1,10.1,1.8,2.7,44.4,,7.8,0.0,7.3,100.0,21.2,4.4,12.4,2.1,1.6,44.8,,7.7,,5.8,100.0,22.9,3.8,11.4,1.9,1.7,43.1,2.7,7.0,0.1,5.5,100.0,17.8,,14.5,,2.6,48.6,3.1,7.3,0.1,6.0
"전국","연령",60세 이상,100.0,14.3,2.4,6.2,1.6,2.6,51.1,,7.7,0.1,13.9,100.0,13.8,2.2,7.2,1.7,2.2,51.1,,7.9,0.2,13.6,100.0,14.1,2.6,5.8,1.4,1.3,50.9,,8.1,0.0,15.8,100.0,16.2,3.0,7.7,1.9,1.1,50.4,,8.3,0.0,11.4,100.0,18.5,2.7,7.6,1.5,1.4,46.2,2.9,7.4,0.0,11.7,100.0,15.9,,9.6,,1.9,48.6,3.5,8.1,0.1,12.4
"전국","연령",65세 이상,100.0,13.3,2.1,5.3,1.5,2.4,51.5,,7.8,0.1,16.0,100.0,13.1,2.0,6.7,1.6,2.3,50.0,,7.9,0.2,16.2,100.0,12.9,2.4,5.1,1.1,1.2,51.1,,8.2,0.0,18.0,100.0,15.4,2.7,7.0,1.5,1.0,50.7,,8.5,,13.2,100.0,17.1,2.4,6.6,1.6,1.5,46.2,3.1,7.5,0.0,14.0,100.0,14.9,,8.6,,1.8,48.4,3.5,8.1,0.0,14.6
"전국","교육정도",초졸이하,100.0,15.5,1.8,6.3,1.6,3.0,48.0,,7.6,0.1,16.3,100.0,19.5,2.2,7.8,1.7,2.2,43.4,,7.6,0.3,15.1,100.0,17.9,2.3,6.7,1.6,1.5,44.1,,7.8,0.0,18.2,100.0,19.3,2.7,7.1,1.8,1.1,46.4,,8.1,0.1,13.4,100.0,20.3,2.2,7.5,2.0,1.1,41.2,2.9,6.9,0.0,15.8,100.0,17.2,,9.3,,2.0,42.7,3.6,8.4,0.1,16.5
"전국","교육정도",중 졸,100.0,24.4,3.0,11.4,2.1,3.0,38.3,,8.1,0.1,9.5,100.0,25.3,3.3,10.6,2.5,1.9,38.6,,7.4,0.1,10.3,100.0,23.4,4.2,9.3,2.1,1.7,40.6,,7.2,0.1,11.5,100.0,24.1,4.3,11.5,2.4,1.4,39.7,,7.7,0.0,8.9,100.0,25.3,3.0,11.1,1.6,1.7,37.9,3.4,6.2,0.0,9.7,100.0,21.6,,12.0,,2.4,43.8,2.9,6.2,0.2,11.0
"전국","교육정도",고 졸,100.0,22.3,3.8,11.9,2.0,2.9,46.3,,6.1,0.1,4.7,100.0,22.6,4.3,11.9,2.0,2.5,44.1,,6.9,0.1,5.6,100.0,22.3,5.2,11.4,1.7,2.1,43.3,,6.7,0.1,7.1,100.0,22.9,4.7,11.9,2.6,1.6,44.5,,6.1,0.1,5.7,100.0,25.6,4.2,10.9,2.1,1.7,42.9,2.0,5.5,0.1,5.1,100.0,18.9,,14.0,,2.9,47.2,2.8,6.4,0.3,7.6
"전국","교육정도",대졸이상,100.0,20.2,5.4,11.0,1.8,2.0,53.1,,4.5,0.0,1.8,100.0,19.3,5.7,11.5,1.5,1.6,53.8,,4.1,0.0,2.5,100.0,19.5,5.9,10.4,1.4,1.7,53.8,,3.8,0.0,3.4,100.0,20.0,5.4,11.0,1.8,0.8,54.1,,4.1,0.1,2.7,100.0,21.8,4.9,10.4,1.4,0.9,53.2,1.7,3.3,0.0,2.3,100.0,15.6,,12.9,,1.7,58.9,2.3,4.2,0.4,4.0
"전국","혼인상태",미? 혼,100.0,30.0,4.7,14.5,2.0,1.9,34.8,,4.9,0.0,7.3,100.0,31.4,5.8,12.9,2.3,1.6,33.1,,4.8,0.1,7.9,100.0,29.1,6.3,12.2,2.0,1.6,35.2,,3.9,0.1,9.7,100.0,30.0,6.5,12.6,2.6,1.0,36.5,,3.7,0.1,7.0,100.0,31.7,5.7,12.0,2.3,1.2,35.7,1.8,3.2,0.1,6.4,100.0,24.0,,16.0,,2.1,40.9,2.0,4.5,0.7,9.8
